scorer,,,Samarth,Samarth,Samarth,Samarth,Samarth,Samarth,Samarth,Samarth,Samarth,Samarth,Samarth,Samarth,Samarth,Samarth
bodyparts,,,nose,nose,ear1,ear1,ear2,ear2,center,center,baseoftail,baseoftail,tail1,tail1,tail2,tail2
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,20220318_1626_SW_0037,img00618.png,366.8011169433594,225.60955810546875,332.4145202636719,246.73553466796875,339.50933837890625,202.82455444335938,284.3355712890625,208.23291015625,243.97689819335938,206.43946838378906,393.4919128417969,237.00253295898438,424.1665344238281,245.51287841796875
labeled-data,20220318_1626_SW_0037,img02150.png,355.31318374484897,240.5994890173938,332.9229736328125,247.13262939453125,340.0738220214844,202.0379638671875,284.7101745605469,208.12039184570312,252.7335874365828,237.2564966802832,265.98865543644405,265.7043297811373,309.35438275220747,273.2905571981295
labeled-data,20220318_1626_SW_0037,img02756.png,358.8084540911417,241.07243931914547,327.48345947265625,248.41636657714844,341.1375427246094,205.4795379638672,283.9814147949219,205.42367553710938,241.5603529223913,212.19721637707192,252.8880713039469,250.6385626875716,294.1436571625479,274.692278284585
labeled-data,20220318_1626_SW_0037,img04045.png,358.1083068847656,232.52023315429688,323.41094970703125,249.33705139160156,334.46588134765625,205.58119201660156,279.48321533203125,208.07798767089844,245.24126521412757,233.76799771862505,259.62237699927164,263.68257897130496,295.84701689184976,274.9725927927906
labeled-data,20220318_1626_SW_0037,img04800.png,346.7508239746094,232.6162872314453,314.8641357421875,249.522216796875,322.7299499511719,205.4652099609375,273.8214111328125,202.74403381347656,233.1478544251961,216.54470768105102,241.8034601306428,255.70416725716962,,
labeled-data,20220318_1626_SW_0037,img04929.png,349.6192932128906,230.92376708984375,319.3111267089844,249.6046600341797,325.6285400390625,205.1273956298828,275.4353332519531,204.61471557617188,232.82102856743,217.87604748758508,239.8837994139115,249.09934056426272,251.40779801754599,273.25368141062705
labeled-data,20220318_1626_SW_0037,img05410.png,303.9383544921875,277.1563415527344,269.8839416503906,263.0090637207031,302.3198547363281,240.14190673828125,269.98162841796875,201.26771545410156,319.6006854828638,182.75741638853475,347.16363468300415,210.9891346003833,358.4336101967415,243.07400807376018
labeled-data,20220318_1626_SW_0037,img13076.png,232.1669464111328,258.41607666015625,243.65769958496094,221.2156524658203,273.489501953125,263.5514221191406,286.1468200683594,201.12728881835938,325.218888517054,177.8793805065617,353.7607116699219,220.69577026367188,360.886962890625,248.57569885253906
